Folder,TimeObj1,TimeObj2,Discrimination_Index_1,Discrimination_Index_2,Quadrant1,Quadrant2
Mouse4161-2024-09-23-08h57m16s,34.752,30.771,0.061,-0.061,3,1
Mouse4161-2024-09-23-12h27m48s,37.800,22.720,0.249,-0.249,3,2
Mouse4162-2024-09-23-08h57m46s,33.025,30.914,0.033,-0.033,4,2
Mouse4162-2024-09-23-12h28m04s,12.371,57.687,-0.647,0.647,2,1
Mouse4163-2024-09-23-08h56m51s,10.558,25.406,-0.413,0.413,3,2
Mouse4163-2024-09-23-12h27m27s,42.500,30.233,0.169,-0.169,4,2
Mouse4164-2024-09-23-08h56m21s,22.470,33.625,-0.199,0.199,4,1
Mouse4164-2024-09-23-12h27m06s,38.202,38.724,-0.007,0.007,3,1
Mouse4165-2024-09-23-09h11m28s,20.600,29.284,-0.174,0.174,3,1
Mouse4165-2024-09-23-12h42m12s,24.642,14.268,0.267,-0.267,3,2
Mouse4166-2024-09-23-09h11m47s,13.886,15.135,-0.043,0.043,4,2
Mouse4166-2024-09-23-12h42m28s,3.834,42.652,-0.835,0.835,4,1
Mouse4167-2024-09-23-09h11m07s,25.909,27.015,-0.021,0.021,3,2
Mouse4167-2024-09-23-12h41m51s,34.289,33.685,0.009,-0.009,4,2
Mouse4168-2024-09-23-09h10m45s,13.199,28.724,-0.370,0.370,4,1
Mouse4168-2024-09-23-12h41m24s,26.948,22.926,0.081,-0.081,3,1
Mouse4169-2024-09-23-09h26m15s,24.775,25.651,-0.017,0.017,3,1
Mouse4169-2024-09-23-12h56m12s,17.943,26.881,-0.199,0.199,3,2
Mouse4170-2024-09-23-09h26m36s,13.954,26.485,-0.310,0.310,4,2
Mouse4170-2024-09-23-12h56m29s,17.990,92.347,-0.674,0.674,4,1
Mouse4171-2024-09-23-09h25m58s,24.066,32.345,-0.147,0.147,3,2
Mouse4171-2024-09-23-12h55m50s,30.334,17.195,0.276,-0.276,4,2
Mouse4172-2024-09-23-09h25m28s,23.531,30.719,-0.132,0.132,4,1
Mouse4172-2024-09-23-12h55m24s,28.891,43.698,-0.204,0.204,3,1
Mouse4173-2024-09-23-09h40m23s,17.106,19.367,-0.062,0.062,3,1
Mouse4173-2024-09-23-13h09m08s,18.542,13.307,0.164,-0.164,3,2
Mouse4174-2024-09-23-09h40m42s,18.573,24.179,-0.131,0.131,4,2
Mouse4174-2024-09-23-13h09m27s,9.751,41.649,-0.621,0.621,4,1
Mouse4175-2024-09-23-09h39m54s,14.480,23.228,-0.232,0.232,3,2
Mouse4175-2024-09-23-13h08m46s,21.652,33.451,-0.214,0.214,4,2
Mouse4176-2024-09-23-09h39m26s,9.537,30.333,-0.522,0.522,3,1
Mouse4176-2024-09-23-13h08m26s,41.648,27.244,0.209,-0.209,3,1
Mouse4177-2024-09-23-09h54m23s,19.724,23.236,-0.082,0.082,3,1
Mouse4177-2024-09-23-13h22m36s,15.881,11.488,0.160,-0.160,3,2
Mouse4178-2024-09-23-09h54m41s,31.089,18.949,0.243,-0.243,4,2
Mouse4178-2024-09-23-13h23m08s,8.670,14.545,-0.253,0.253,4,1
Mouse4179-2024-09-23-09h53m57s,18.870,28.993,-0.211,0.211,3,2
Mouse4179-2024-09-23-13h22m20s,32.479,31.909,0.009,-0.009,4,2
Mouse4180-2024-09-23-13h21m52s,37.941,11.030,0.550,-0.550,3,1
Mouse4181-2024-09-23-10h07m40s,25.179,21.072,0.089,-0.089,3,1
Mouse4181-2024-09-23-13h35m26s,10.962,8.803,0.109,-0.109,3,2
Mouse4182-2024-09-23-10h07m56s,16.966,13.499,0.114,-0.114,4,2
Mouse4182-2024-09-23-13h35m42s,NaN,NaN,NaN,NaN,NaN,NaN
Mouse4183-2024-09-23-10h07m22s,27.350,38.881,-0.174,0.174,3,2
Mouse4183-2024-09-23-13h35m10s,37.741,35.227,0.034,-0.034,4,2
Mouse4184-2024-09-23-10h06m56s,14.354,35.646,-0.426,0.426,4,1
Mouse4184-2024-09-23-13h34m44s,24.227,42.517,-0.274,0.274,3,1
Mouse4185-2024-09-23-10h22m25s,11.366,14.749,-0.130,0.130,3,1
Mouse4185-2024-09-23-13h47m59s,7.041,9.938,-0.171,0.171,3,2
Mouse4186-2024-09-23-10h22m45s,21.740,36.017,-0.247,0.247,4,2
Mouse4186-2024-09-23-13h48m20s,25.388,46.185,-0.291,0.291,4,1
Mouse4187-2024-09-23-10h22m07s,56.310,46.523,0.095,-0.095,3,2
Mouse4187-2024-09-23-13h47m44s,52.522,32.747,0.232,-0.232,4,2
Mouse4188-2024-09-23-10h21m41s,43.403,52.830,-0.098,0.098,4,1
Mouse4188-2024-09-23-13h47m23s,51.618,45.843,0.059,-0.059,3,1
Mouse4189-2024-09-23-10h34m45s,29.215,30.059,-0.014,0.014,3,1
Mouse4189-2024-09-23-13h59m26s,45.667,14.057,0.529,-0.529,3,2
Mouse4190-2024-09-23-10h35m18s,48.667,47.259,0.015,-0.015,4,2
Mouse4190-2024-09-23-13h59m46s,26.718,39.230,-0.190,0.190,4,1
